generic_name,status,pmid,label,year,first_author,title,pub_types,reason,url
diazepam,rejected,11384791,,2001,Lowenstein,The prehospital treatment of status epilepticus (PHTSE) study: design and methodology.,"Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, U.S. Gov't, P.H.S.",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/11384791/
diazepam,rejected,11295719,,2001,Rosman,"Preventing febrile seizures in children with oral diazepam: can a controlled trial truly be ""double-blind?"".",Clinical Trial; Journal Article; Randomized Controlled Trial,drug appears in title but not as primary intervention,https://pubmed.ncbi.nlm.nih.gov/11295719/
diazepam,rejected,10703801,,2000,Crawley,"Effect of phenobarbital on seizure frequency and mortality in childhood cerebral malaria: a randomised, controlled intervention study.","Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/10703801/
diazepam,rejected,10328277,,1999,Kriel,Rectal diazepam gel for treatment of acute repetitive seizures. The North American Diastat Study Group.,"Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, U.S. Gov't, P.H.S.",drug appears in title but not as primary intervention,https://pubmed.ncbi.nlm.nih.gov/10328277/
diazepam,rejected,9637805,,1998,Dreifuss,A comparison of rectal diazepam gel and placebo for acute repetitive seizures.,"Clinical Trial; Comparative Study; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",drug appears in title but not as primary intervention,https://pubmed.ncbi.nlm.nih.gov/9637805/
diazepam,rejected,26071050,,1996,Davis,Mirtazapine : A Review of its Pharmacology and Therapeutic Potential in the Management of Major Depression.,Journal Article,drug term not in title,https://pubmed.ncbi.nlm.nih.gov/26071050/
diazepam,rejected,8325278,,1993,Sharief,"The effect of oral flumazenil on interictal epileptic activity: results of a double-blind, placebo-controlled study.",Clinical Trial; Journal Article; Randomized Controlled Trial,drug term not in title,https://pubmed.ncbi.nlm.nih.gov/8325278/
diazepam,rejected,1647443,,1991,Hart,The effect of intravenous flumazenil on interictal electroencephalographic epileptic activity: results of a placebo-controlled study.,"Clinical Trial; Comparative Study; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/1647443/
diazepam,rejected,3530305,,1986,Jawad,"The effect of lamotrigine, a novel anticonvulsant, on interictal spikes in patients with epilepsy.","Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/3530305/
diazepam,rejected,3925929,,1985,Bittencourt,[Efficient serum concentrations after single doses of antiepileptic drugs: concept of loading-dose].,Clinical Trial; Controlled Clinical Trial; English Abstract; Journal Article,drug term not in title,https://pubmed.ncbi.nlm.nih.gov/3925929/
